species;taxonomic_name
Ach_mil;Achillea millefolium
Aco_sep;Aconitum septentrionale
Agr_cap;Agrostis capillaris
Agr_cap_cf;Agrostis capillaris cf.
Agr_mer;Agrostis mertensii
Agr_mer_CF;Agrostis mertensii cf.
Alc_alp;Alchemilla alpina
Alc_sp;Alchemilla sp.
Alc_sp_cf;Alchemilla sp. Cf.
Ant_alp;Antennaria alpina or Anthoxanthum alpinum
Ant_dio;Antennaria dioica
Ant_odo;Anthoxanthum odoratum
Ant_sp;Antennaria sp.
Arc_urv;Arctous alpina
Ast_alp;Astragalus alpinus
Ave_fle;Avenella flexuosa
Ave_fle_cf;Avenella flexuosa cf.
Bar_alp;Bartsia alpina
Bet_nan;Betula nana
Bet_pub;Betula pubescens
Bet_sp;Betula sp.
Bis_viv;Bistorta vivipara
Bot_lun;Botrychium lunaria
Cal_vul;Calluna vulgaris
Cam_rot;Campanula rotundifolia
Car_atr;Carex atrata
Car_big;Carex bigelowii
Car_big_cf;Carex bigelowii cf.
Car_cap;Carex capillaris
Car_cap_cf;Carex capillaris cf.
Car_fla;Carex flava
Car_fla_CF;Carex flava cf.
Car_lep;Carex leporina
Car_nig;Carex nigra
Car_nor;Carex norvegica
Car_nor_cf;Carex norvegica cf.
Car_pal;Carex pallescens
Car_pil;Carex pilulifera
Car_pil_cf;Carex pilulifera cf.
Car_sax;Carex saxatilis
Car_sp;Carex sp.
Car_sp_den_lyse;Carex sp. 
Car_sp_smal;Carex sp.
Car_vag;Carex vaginata
Car_vag_CF;Carex vaginata cf.
Cer_alp;Cerastium alpinum
Car_alp_cf;Carestium alpinum cf.
Cer_cer;Cerastium cerastoides
Cer_cer_cf;Cerastium cerastoides cf.
Cer_fon;Cerastium fontanum
Cer_sp;Cerastium sp.
Coel_vir;Dactylorhiza viridis
Dac_vir;Dactylorhiza viridis
Des_alp;Deschampsia alpinum
Des_ces;Deschampsia cespitosa
Dip_alp;Diphasiastrum alpinum
Dry_oct;Dryas octopetala
Emp_nig;Empetrum nigrum
Epi_ana;Epilobium anagallidifolium
Epi_ana_cf;Epilobium anagallidifolium cf.
Epi_sp;Epilobium sp.
Epi_nor;Epilobium sp.
Equ_arv;Equisetum arvense
Equ_sci;Equisetum scirpoides
Equ_sp;Equisetum sp.
Eri_sp;Erigeron sp.
Eri_uni;Erigeron uniflorus
Eri_uni_cf;Erigeron uniflorus cf.
Eup_wet;Euphrasia wettsteinii
Eup_str;Euphrasia stricta
Eup_sp;Euphrasia sp.
Fern;Unknown fern
Fes_ovi;Festuca ovina
Fes_rub;Festuca rubra
Fes_rub_cf_kanskje_Ave_fle;Festuca rubra cf.
Fes_sp;Festuca sp.
Fes_viv;Festuca vivipara
Gal_bor;Galium boreale
Gal_sp;Galium sp.
Gen_ama;Gentiana amarella
Gen_niv;Gentiana nivalis
Gen_riv;Gentiana nivalis
Gen_sp;Gentiana sp.
Ger_syl;Geranium sylvaticum
Geu_riv;Geum rivale
Gym_dry;Gymnocarpium dryopteris
Hie_alp;Hieracium alpinum
Hie_pil;Hieracium pilosella
Hie_sp;Hieracium sp.
Hie_vul;Hieracium vulgatum
Hup_app;Huperzia appressa
Hyp_mac;Hypericum maculatum
Hyp_sel;Huperzia selago
Hyp_sp;Hypericum sp.
Jun_tri;Juncus trifidus
Jun_tri_CF;Juncus trifidus cf.
Leo_aut;Leontodon autumnalis
Leo_sp;Leontodon sp.
Leu_vul;Leucanthemum vulgaris
Lot_cor;Lotus corniculatus
Luz_mul;Luzula multiflora
Luz_spi;Luzula spicata
Lyc_alp;Lycopodium alpinum
Lys_eur;Lysimachia europaea
Nar_str;Nardus stricta
Nid_juvenile;Non-identified juvenile
Nid_seedling;Non-identified seedling
Oma_nor;Omalotheca norvegica
Oma_sp;Omalotheca supina
Oma_sup;Omalotheca supina
Ort_sec;Orthilia secunda
Oxa_ace;Oxyria digyna
Oxy_dig;Oxyria digyna
Par_pal;Parnassia palustris
Phl_alp;Phleum alpinum
Pin_syl;Pinus sylvestris
Pin_vul;Pinguicula vulgaris
Poa_alp;Poa alpina
Poa_pra;Poa pratensis
Pot_cra;Potentilla crantzii
Pot_ere;Potentilla erecta
Pru_vul;Prunella vulgaris
Pyr_min;Pyrola minor
Pyr_rot;Pyrola rotundifolia
Pyr_sp;Pyrola sp.
Ran_acr;Ranunculus acris
Ran_acr_cf;Ranunculus acris cf.
Ran_pyg;Ranunculus pygmaeus
Ran_sp;Ranunculus sp.
Rhi_min;Rhinanthus minor
Rhi_sp;Rhinanthus sp.
Rum_ace;Rumex acetosa
Rum_acl;Rumex acetosella
Sag_sag;Sagina saginoides
Sag_sp;Sagina sp.
Sal_her;Salix herbacea
Sal_lan;Salix lanata
Sal_sp;Salix sp.
Sau_alp;Saussurea alpina
Sel_sel;Selaginella selaginoides
Sel_sp;Selaginella sp.
Sib_pro;Sibbaldia procumbens
Sil_aca;Silene acaulis
Sil_vul;Silene vulgaris
Sol_vir;Solidago virgaurea
Ste_gra;Stellaria graminea
Suc_pra;Succisa pratensis
Tar_sp;Taraxacum sp.
Tha_alp;Thalictrum alpinum
Tof_pus;Tofieldia pusilla
Tri_ces;Trichophorum cespitosum
Tri_fol;Trifolium sp.
Tri_pra;Trifolium pratense
Tri_rep;Trifolium repens
Unknown;Unknown
Vac_myr;Vaccinium myrtillus
Vac_uli;Vaccinium uliginosum
Vac_vit;Vaccinium vitis-idaea
Val_atr;Vahlodea atropurpurea
Ver_alp;Veronica alpina
Ver_cha;Veronica chamaedrys
Ver_off;Veronica officinalis
Vio_bif;Viola biflora
Vio_can;Viola canina
Vio_pal;Viola palustris
Vio_sp;Viola sp.
Vio_tri;Viola trifidus
